Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
2088082,What Is the Good Life?,Luc Ferry,"Ferry, Luc",Lydia G. Cochrane,"=""0226244539""","=""9780226244532""",0,University of Chicago Press,Hardcover,320,2005,2002,,2020/07/08,"philosophy, to-read","philosophy (#7), to-read (#76)",to-read,,,,0,0
31875,What Is Ancient Philosophy?,Pierre Hadot,"Hadot, Pierre",Michael Chase,"=""0674013735""","=""9780674013735""",0,Belknap Press: An Imprint of Harvard University Press,Paperback,384,2004,1995,,2020/07/08,"philosophy, to-read","philosophy (#1), to-read (#75)",to-read,,,,0,0
60080,Groundwork of the Metaphysics of Morals,Immanuel Kant,"Kant, Immanuel","Christine M. Korsgaard, Mary Gregor","=""0521626951""","=""9780521626958""",0,Cambridge University Press,Paperback,120,1998,1785,,2020/07/08,"philosophy, to-read","philosophy (#3), to-read (#74)",to-read,,,,0,0
22472,Discourse on the Origin of Inequality,Jean-Jacques Rousseau,"Rousseau, Jean-Jacques",,"=""0486434141""","=""9780486434148""",0,Dover Publications,Paperback,73,2004,1755,,2020/07/08,"philosophy, to-read","philosophy (#2), to-read (#73)",to-read,,,,0,0
851994,Twilight of the Idols,Friedrich Nietzsche,"Nietzsche, Friedrich","Richard Polt, Tracy B. Strong","=""0872203549""","=""9780872203549""",0,"Hackett Publishing Company, Inc.",Paperback,128,1997,1889,,2020/07/08,"philosophy, to-read","philosophy (#4), to-read (#72)",to-read,,,,0,0
51985,Existentialism is a Humanism,Jean-Paul Sartre,"Sartre, Jean-Paul","Arlette Elkaïm-Sartre, Annie Cohen-Solal, Carol Macomber","=""0300115466""","=""9780300115468""",0,Yale University Press,Paperback,122,2007,1946,,2020/07/08,"philosophy, to-read","philosophy (#5), to-read (#71)",to-read,,,,0,0
50196744,Know My Name,Chanel Miller,"Miller, Chanel",,"=""0735223718""","=""9780735223714""",0,Viking,ebook,384,2019,2019,,2020/07/09,to-read,to-read (#70),to-read,,,,0,0
35664645,The Liars' Asylum,Jacob M. Appel,"Appel, Jacob M.",,"=""1625579751""","=""9781625579751""",4,Black Lawrence Press,Paperback,176,2017,2017,2020/07/08,2020/07/02,,,read,,,,1,0
52111503,Antkind,Charlie Kaufman,"Kaufman, Charlie",,"=""0399589686""","=""9780399589683""",0,Random House,Hardcover,720,2020,2020,,2020/07/07,to-read,to-read (#69),to-read,,,,0,0
48842144,The Shadows,Alex North,"North, Alex",,"=""1250318033""","=""9781250318039""",0,Celadon Books,Hardcover,325,2020,2020,,2020/07/07,to-read,to-read (#68),to-read,,,,0,0
